"urban_pct_1000m_mod","water_pct_1000m_mod","natural_pct_1000m_mod","pasture_pct_1000m_mod","crop_pct_1000m","pesticide_1000m","fertilizer_1000m","crop_diversity_shannon_1000m","crop_diversity_machefer_alpha_1000m","pct_very_small_and_small_field_1000m","pct_very_large_and_large_field_1000m","climate_mean_temp_c_1000m","climate_annual_precip_mm_1000m","Habitat_category","Predominant_land_use_mod","Use_intensity","SS","SSB","Coordinate_ID","Sampling_method","SSBS","taxa_richness","genus_richness","Rescaled_sampling_effort_mod","Country","Sample_start_year","Diversity_metric_unit"
-0.110987089187287,-0.469673338133664,-0.559386047286653,-0.394666723099853,0.717759868064153,-0.665328615264708,-0.0650196025570739,1.12082074308223,2.32471821400811,-0.559962395654517,-0.301410863021351,2.47449943613913,0.257565108724146,"Cropland_Light use","Cropland","Light use","AD1_2004__Quaranta 1","AD1_2004__Quaranta 1 ","43.3705969294,10.4639936027","aerial transect","AD1_2004__Quaranta 1  1",18,8,1,"Italy","2000","individuals"
-0.191832775532635,-0.549183413730287,-0.420246370978705,-0.394666723099853,0.703711417576053,-0.665328615264708,-0.467412693768451,1.48198709739318,-0.174615444084685,-0.559962395654517,-0.301410863021351,2.47449943613913,0.257565108724146,"Semi-natural vegetation_Light use","Semi-natural vegetation","Light use","AD1_2004__Quaranta 1","AD1_2004__Quaranta 1 ","43.415805214,10.4429253244","aerial transect","AD1_2004__Quaranta 1  2",21,8,1,"Italy","2000","individuals"
-0.0635743790716425,-0.549183413730287,-0.363133035653114,-0.211002788145466,0.580263122658033,-0.62401190835223,-0.571974810715871,0.4642337298027,-0.556395630213437,-0.559962395654517,-0.301410863021351,0.757749309807185,-0.575405436086369,"Cropland_Intense use","Cropland","Intense use","AD1_2005__Hanley 1","AD1_2005__Hanley 1 ","50.964167,-1.4275","aerial transect","AD1_2005__Hanley 1  1",5,1,1,"United Kingdom","2004","individuals"
-0.191832775532635,-0.462643180571085,-0.111659679245996,-0.362418084792394,0.47178049144163,-0.665328615264708,-0.718822862886679,0.690079966927273,-1.77960323657032,-0.559962395654517,-0.301410863021351,0.962152456961175,-0.400030431269836,"Cropland_Intense use","Cropland","Intense use","AD1_2005__Hanley 1","AD1_2005__Hanley 1 ","50.84341,-1.490059","aerial transect","AD1_2005__Hanley 1  2",6,1,1,"United Kingdom","2004","individuals"
-0.191832775532635,-0.549183413730287,-0.397862142870082,-0.0990976684112749,0.616576577270557,-0.613042010366464,-0.2429819737216,0.909677725557177,-0.5537605127109,-0.559962395654517,-0.301410863021351,0.48963363707753,-0.465852337824435,"Cropland_Intense use","Cropland","Intense use","AD1_2005__Hanley 1","AD1_2005__Hanley 1 ","51.268592,-1.708976","aerial transect","AD1_2005__Hanley 1  3",9,1,1,"United Kingdom","2004","individuals"
-0.0635743790716425,-0.549183413730287,-0.363133035653114,-0.211002788145466,0.580263122658033,-0.62401190835223,-0.571974810715871,0.4642337298027,-0.556395630213437,-0.559962395654517,-0.301410863021351,0.769467127403679,-0.893992932228126,"Cropland_Intense use","Cropland","Intense use","AD1_2005__Hanley 1","AD1_2005__Hanley 1 ","50.964167,-1.4275","aerial transect","AD1_2005__Hanley 1  4",7,2,1,"United Kingdom","2005","individuals"
-0.191832775532635,-0.462643180571085,-0.111659679245996,-0.362418084792394,0.47178049144163,-0.665328615264708,-0.718822862886679,0.690079966927273,-1.77960323657032,-0.559962395654517,-0.301410863021351,0.970440398230413,-0.594837824207673,"Cropland_Intense use","Cropland","Intense use","AD1_2005__Hanley 1","AD1_2005__Hanley 1 ","50.84341,-1.490059","aerial transect","AD1_2005__Hanley 1  5",6,2,1,"United Kingdom","2005","individuals"
-0.191832775532635,-0.549183413730287,-0.397862142870082,-0.0990976684112749,0.616576577270557,-0.613042010366464,-0.2429819737216,0.909677725557177,-0.5537605127109,-0.559962395654517,-0.301410863021351,0.504195010005826,-0.906000166693983,"Cropland_Intense use","Cropland","Intense use","AD1_2005__Hanley 1","AD1_2005__Hanley 1 ","51.268592,-1.708976","aerial transect","AD1_2005__Hanley 1  6",7,1,1,"United Kingdom","2005","individuals"
-0.0339668012914023,-0.0706593662763649,-0.559386047286653,-0.0138656723946965,0.396851035546258,0.561805219639157,0.299575900788019,0.343919816007804,0.181904054109321,2.05167764409168,-0.301410863021351,0.795782849715646,-0.753755891931859,"Cropland_Light use","Cropland","Light use","AD1_2006__Marshall 1","AD1_2006__Marshall 1 A","51.0030857049,-2.87786183499","aerial transect","AD1_2006__Marshall 1 A 1",4,1,1,"United Kingdom","2003","individuals"
-0.177697967463793,-0.00142244114740387,-0.377474958132429,-0.216340201863075,0.355827402985035,-0.330398339603427,0.211040748975873,0.363103279242385,-0.463719481398644,2.05167764409168,-0.301410863021351,0.795782849715646,-0.753755891931859,"Cropland_Light use","Cropland","Light use","AD1_2006__Marshall 1","AD1_2006__Marshall 1 B","51.0218372787,-2.89532542322","aerial transect","AD1_2006__Marshall 1 B 2",2,1,1,"United Kingdom","2003","individuals"
-0.191832775532635,0.374007115399905,-0.559386047286653,0.523486382982413,0.094546650380473,-0.210372891275907,0.739983161731036,0.17968528853273,-0.666406057463012,2.05167764409168,-0.301410863021351,0.795782849715646,-0.753755891931859,"Cropland_Light use","Cropland","Light use","AD1_2006__Marshall 1","AD1_2006__Marshall 1 C","50.9803902137,-2.90592388072","aerial transect","AD1_2006__Marshall 1 C 3",5,3,1,"United Kingdom","2003","individuals"
-0.191832775532635,-0.549183413730287,-0.559386047286653,-0.394666723099853,0.636805491810081,0.613673806135119,1.00107062150872,-0.572221032852058,0.477337772134512,-0.559962395654517,-0.301410863021351,0.742359504697037,-0.635492781282939,"Cropland_Light use","Cropland","Light use","AD1_2006__Marshall 1","AD1_2006__Marshall 1 D","51.1910885178,-3.1776499659","aerial transect","AD1_2006__Marshall 1 D 4",3,1,1,"United Kingdom","2003","individuals"
-0.191832775532635,-0.549183413730287,-0.425459819952063,1.20413228500995,0.306322512745919,0.36047053415575,0.153725173826873,0.436824434349501,1.76352721049412,-0.559962395654517,-0.301410863021351,0.69170872457171,-0.589869335105968,"Cropland_Light use","Cropland","Light use","AD1_2006__Marshall 1","AD1_2006__Marshall 1 E","51.0840628902,-3.17921263138","aerial transect","AD1_2006__Marshall 1 E 5",3,2,1,"United Kingdom","2003","individuals"
-0.191832775532635,-0.549183413730287,-0.254078187823486,2.84883579473823,-0.205956498093204,-0.0304603505419823,-0.0237271111518994,0.421701377894283,0.848917055533028,-0.559962395654517,-0.301410863021351,0.69170872457171,-0.589869335105968,"Cropland_Light use","Cropland","Light use","AD1_2006__Marshall 1","AD1_2006__Marshall 1 F","51.0973300839,-3.20097216404","aerial transect","AD1_2006__Marshall 1 F 6",5,1,1,"United Kingdom","2003","individuals"
-0.191832775532635,1.01325064455579,-0.559386047286653,1.3645746688188,-0.435092442635885,-0.398939603317465,-0.500231039626291,0.894734915207245,-0.271737661601035,2.05167764409168,-0.301410863021351,0.856996836541449,-0.792376767606343,"Cropland_Light use","Cropland","Light use","AD1_2006__Marshall 1","AD1_2006__Marshall 1 L","51.2990340634,-2.97816445939","aerial transect","AD1_2006__Marshall 1 L 7",4,1,1,"United Kingdom","2003","individuals"
-0.191832775532635,-0.531049897709246,-0.559386047286653,0.180546210230034,0.328155154053513,1.26131926859286,0.916144614503912,0.0258820604064935,1.4348704884502,-0.559962395654517,-0.301410863021351,0.731076168387528,-0.689595774252028,"Cropland_Light use","Cropland","Light use","AD1_2006__Marshall 1","AD1_2006__Marshall 1 G","51.038565174,-2.50484652718","aerial transect","AD1_2006__Marshall 1 G 8",4,1,1,"United Kingdom","2003","individuals"
-0.191832775532635,-0.549183413730287,-0.559386047286653,-0.186333608631251,0.222863740674981,0.735710493199168,1.08917667381004,-0.0184214589436023,1.36356184065873,-0.559962395654517,-0.301410863021351,0.731076168387528,-0.689595774252028,"Cropland_Light use","Cropland","Light use","AD1_2006__Marshall 1","AD1_2006__Marshall 1 H","51.0395010284,-2.49629890505","aerial transect","AD1_2006__Marshall 1 H 9",3,2,1,"United Kingdom","2003","individuals"
